mp-7, S
mp-8938, Si2Mo
mp-8948, CeAsPd
mp-8949, NdAsPd
mp-8951, SmAsPd
mp-8952, HoAsPd
mp-8969, Mg2Ni3P
mp-8973, NaSi2N3
mp-8976, Cu2WS4
mp-8983, CaSiPt
mp-8996, Sc3RuC4
mp-9023, ScSiAu
mp-9024, LuSiAu
mp-9025, YSiAu
mp-9027, TiS2
mp-9035, NaLuS2
mp-9036, KSmTe2
mp-9037, CsPrS2
mp-9040, Ca3AuN
mp-9056, ZrPdF6
mp-9060, RbPdF3
mp-9061, KPdF3
mp-9068, K2NaAlP2
mp-9069, K2NaAlAs2
mp-9075, CdCuF4
mp-9076, NaTmS2
mp-9078, BaPIr
mp-9080, CsPrS2
mp-9081, CsNdS2
mp-9082, CsSmS2
mp-9084, CsGdS2
mp-9085, CsTbS2
mp-9086, CsDyS2
mp-9089, CsTmS2
mp-9090, CsYbS2
mp-9102, RbVP2S7
mp-9115, Ba2SrIrO6
mp-9117, Sr2YTlCu2O7
mp-9145, Rb2SnSe3
mp-9146, CdHgO2
mp-9159, Li4NpO5
mp-9173, TiO2
mp-9177, Y2Al3Si2
mp-9179, Ba3Zr2S7
mp-9194, SmCuSeO
mp-9201, K4Ge2Au7
mp-9208, V2B3
mp-9211, Tm2Fe2Si2C
mp-9219, LaB2Pt2C
mp-9223, ScGeRu
mp-9225, ScSiPt
mp-9235, LaNiSb
mp-9238, Ba2UCuO6
mp-9249, NaGeAu
mp-9251, TlTe3Pt2
mp-9252, HgS
mp-9254, Al2Te5
mp-9257, Yb(CdSb)2
mp-9264, NaTeAu
mp-9272, TlPt2S3
mp-9277, Ce2CrN3
mp-9289, ZrSnTe
mp-9293, EuGeAu
mp-9304, DyCuSeO
mp-9339, NbP
mp-9341, GdAgGe
mp-9349, KRb2ScF6
mp-9350, ScGeAu
mp-9351, LuGeAu
mp-9357, Th(CrB3)2
mp-9362, RbPrS2
mp-9363, RbNdS2
mp-9364, RbSmS2
mp-9365, RbTbS2
mp-9366, RbHoS2
mp-9367, RbErS2
mp-9368, RbTmS2
mp-9369, RbYbS2
mp-9370, RbLuS2
mp-9372, Ba2Cu(PO4)2
mp-9374, MnMoN2
mp-9378, Na(SnAs)2
mp-9379, Sr(SnAs)2
mp-9381, Zr6FeTe2
mp-9391, TaNi2Te3
mp-9396, HfTlCuS3
mp-9397, HfTlCuSe3
mp-9399, SmTe3
mp-9400, CeAlSi2
mp-9413, Ca2TiSiO6
mp-9429, USe3
mp-9439, YbCuSb
mp-9440, YbAgSb
mp-9453, Sr2ZnCu2(SO)2
mp-9473, Ba(NiP)2
mp-9479, Mg(AlSe2)2
mp-9481, TcS2
mp-9487, USiAu
mp-9490, KAg2SbS4
mp-9497, Pr2C(NO)2
mp-9498, Nd2C(NO)2
mp-9499, Sm2C(NO)2
mp-9503, BaDyCuTe3
mp-9518, NdZnPO
mp-9519, AgCN
mp-9522, K(ThSe3)2
mp-9548, GeAs
mp-9556, SrZnSi
mp-9568, Li3Ga2
mp-9577, Ca3(AlSi)2
mp-9578, Ba3(AlSi)2
mp-9581, Th(CuP)2
mp-9582, Yb(ZnP)2
mp-9632, CsReF6
mp-9634, Na3AgS2
mp-9635, Ag2HgS2
mp-9665, K3BAs2
mp-9666, K2NaGaP2
mp-9673, K2NiAs2
mp-9676, K2NaGaAs2
mp-9690, Ca(AlGa)2
mp-9693, K2SnSe3
mp-9694, Tm3(GePd)4
mp-9716, TiBO3
mp-9721, Ca3GeO
mp-9741, Na3Cd2IrO6
mp-9743, SrAsPd
mp-9744, BaAsPd
mp-9756, ThGeO4
mp-9767, BaAs2Pd
mp-9768, BaSb2Pd
mp-9769, BaAs2Pt
mp-9771, UTi2O6
mp-9776, YbAgGe
mp-9782, KAg3Se2
mp-9791, Tl3AsS3
mp-9799, Yb4As2O
mp-9801, HfCoAs
mp-9808, Rb3NbO8
mp-9810, TlFeSe2
mp-9814, Cu3SbSe4
mp-9819, RbAsF6
mp-9820, CsAsF6
mp-9827, RbHg2
mp-9828, YbPPt
mp-9847, YbP5
mp-9848, PrP5
mp-9849, SmP5
mp-9850, DyP5
mp-9851, HoP5
mp-9852, TmP5
mp-9853, LuP5
mp-9854, YP5
mp-9873, EuZnGe
mp-9884, KFeSe2
mp-9886, La(PRu)2
mp-9890, TaAgO3
mp-9898, BaCuAs
mp-9899, BaAgP
mp-9903, U3(SiNi)4
mp-9905, Ba2Si
mp-9907, SrAs3
mp-9911, K3SbS4
mp-9920, TiS3
mp-9921, ZrS3
mp-9922, HfS3
mp-9923, VP2
mp-9925, Ca2Sb
mp-9945, CoTe2
mp-10000, Hf2S
mp-10033, NbS2
mp-10065, UFe3B2
mp-10068, Ce2MnN3
mp-10087, CeScSi
mp-10092, KCu4Se3
mp-10098, YGeAu
mp-10101, CsAgC2
mp-10102, KAgC2
mp-10164, NaGaTe2
mp-10165, KAlTe2
mp-10166, NaAlSe2
mp-10209, Y3Al3NiGe2
mp-10214, Y2GeRh3
mp-10231, LiMnSe2
mp-10232, NaMnSe2
mp-10240, ScNiP
mp-10283, SmSi3Ni
mp-10284, YSi3Ni
mp-10286, KMnTe2
mp-10287, RbMnTe2
mp-10298, Sm(SiPt)2
mp-10300, ZrMoP
mp-10308, Ho2Ge2Rh
mp-10316, CeCdAsO
mp-10343, Sc2BC2
mp-10388, Nb5(PPd)4
mp-10393, SmGaSb2
mp-10394, CrCoGe
mp-10398, HoNi4B
mp-10401, Tl2SnF6
mp-10402, TiTl2F6
mp-10405, Yb(AlSi)2
mp-10415, Yb3(GePd)4
mp-10421, RbAuC2
mp-10422, NaAuC2
mp-10423, KAuC2
mp-10430, Nb5(NiP)4
mp-10434, K2UTe3
mp-10435, Y(AlSi)2
mp-10436, Tb(AlSi)2
mp-10437, Ba(CuSe)2
mp-10440, Mg(P2Rh3)2
mp-10441, Sr(Cu2As)2
mp-10442, Eu(Cu2As)2
mp-10443, YbSiAu
mp-10445, Sc6FeTe2
mp-10446, Sc6NiTe2
mp-10450, PrAlGe
mp-10456, HfSiPt
mp-10464, CaF2
mp-10468, CeBPt2
mp-10477, RbAg3Se2
mp-10478, CeAsRh
mp-10486, Cd2As2O7
mp-10516, Dy6FeTe2
mp-10518, KVP2S7
mp-10519, Cu2SnS3
mp-10521, Y(AlGe)2
mp-10523, CeSiO4
mp-10527, Y2AlSi2
mp-10528, Ho2AlSi2
mp-10529, Er2AlSi2
mp-10530, Tm2AlSi2
mp-10531, Lu2AlSi2
mp-10532, Yb2AlSi2
mp-10554, Ca3TlN
mp-10559, Gd3AuO6
mp-10564, SrN2
mp-10569, YbSiIr
mp-10580, La(AlGe)2
mp-10581, Nd(AlGe)2
mp-10584, Ba2LiOsO6
mp-10636, SrSb2
mp-10668, Yb(SiAg)2
mp-10669, Ba3(AlGe)2
mp-10670, Ca3(AlGe)2
mp-10671, Sr3(AlGe)2
mp-10690, EuCoGe3
mp-10697, Sr(GeRh)2
mp-10698, Ba(GeRh)2
mp-10756, VFeSb
mp-10796, HgSeO4
mp-10797, CaSiNi2
mp-10809, AgSnF6
mp-10816, NdAgAs2
mp-10824, ZnCu2GeSe4
mp-10846, NiAsSe
mp-10847, NiSbSe
mp-10848, AsPdS
mp-10849, AsPdSe
mp-10850, SbTePd
mp-10852, La(BC)2
mp-10853, Pr(BC)2
mp-10854, Tb(BC)2
mp-10856, Er(BC)2
mp-10857, Tm(BC)2
mp-10858, Lu(BC)2
mp-10860, CeNi2B2C
mp-10863, Li4Yb5Ge4
mp-10876, Ca3Al7Cu2
mp-10877, Ca(Al2Cu)4
mp-10878, Ca(MnAl2)4
mp-10910, Al2Ru
mp-10924, Mg(Co3P2)2
mp-10930, TbSF
mp-10931, HoSF
mp-10932, ErSF
mp-10933, Nd2TeS2
mp-10950, Sr2Cu(PO4)2
mp-10952, Cu2HgGeS4
mp-10956, LaAsRh
mp-10960, Tb2Ti2S2O5
mp-10964, CeB2Ir2C
mp-10965, DyAgSb2
mp-10967, CdCu2GeSe4
mp-10988, NaYbSe2
mp-10989, KYbSe2
mp-10991, YCuAs2
mp-10992, DyCuAs2
mp-10993, ErCuAs2
mp-10994, TmCuAs2
mp-10998, Yb2Ge2Ir
mp-10999, LuGeIr
mp-11010, KNdTe4
mp-11011, RbNdTe4
mp-11016, RbCd(NO2)3
mp-11017, KCd(NO2)3
mp-11018, TlCd(NO2)3
mp-11037, Lu(Al2Fe)4
mp-11038, Zr6Al2Fe
mp-11040, EuZnSn
mp-11069, YbAgSn
mp-11073, Ti3In3Rh2
mp-11078, BaIn2Rh
mp-11080, YbMgAu
mp-11081, CeSnAu
mp-11082, CeCdAu
mp-11084, EuCdAu
mp-11085, YbCdAu
mp-11086, La2MgCu2
mp-11090, EuCdPd
mp-11091, NdMgPt
mp-11098, YbMgPd
mp-11100, YbIn5Rh
mp-11101, LuInRh
mp-11102, YbInRh
mp-11104, HoInRh
mp-11108, SrP3
mp-11132, KPrTe4
mp-11147, Na5CuSO2
mp-11155, NdMgGa
mp-11156, TmMgGa
mp-11157, SmMgGa
mp-11160, SmSbIr
mp-11169, Ba(PIr)2
mp-11171, LiRhF6
mp-11172, LiIrF6
mp-11174, K2IrF6
mp-11176, Ca3(SiIr)4
mp-11178, SrCeN2
mp-11180, NaC
mp-11181, Cs(MnP)2
mp-11194, NdMgNi4
mp-11200, LaMg2Ni
mp-11214, CaAgSb
mp-11215, CeAgGe
mp-11266, BaCd2
mp-11273, Be3Nb
mp-11284, CaGa2
mp-11287, CaHg2
mp-11322, ZrSi
mp-11328, P2W
mp-11329, P2W
mp-11350, CaAl9Co2
mp-11352, PrAl5Ni2
mp-11397, Ga3Ni2
mp-11415, Sm9Ga4
mp-11430, Ca3Al7Ag2
mp-11511, LaAlGe
mp-11522, Ni3Sn
mp-11537, NbAlRu2
mp-11550, Sc2Pt
mp-11580, TiCrP
mp-11581, Tm2NiAs2
mp-11584, Lu8Te
mp-11593, CeB2Ir3
mp-11594, PrB2Ir3
mp-11596, PrBPt3
mp-11597, NdBPt3
mp-11601, NaErO2
mp-11609, Sb(MoS)2
mp-11610, PrCo4B
mp-11615, TmMnGe
mp-11620, ZnNi3Sb2
mp-11621, ZnNiSb
mp-11639, Rb2GeS3
mp-11644, Li2Ca
mp-11651, Yb3SnO
mp-11652, Yb3PbO
mp-11658, Cu2SnSe3
mp-11665, Ce2(Zn2Ge)3
mp-11666, Pr2(Zn2Ge)3
mp-11667, Nd2(Zn2Ge)3
mp-11668, Sm2(Zn2Ge)3
mp-11690, Tc2P3
mp-11694, Cs2Pd3Se4
mp-11696, As3W2
mp-11705, Dy2Fe2Si2C
mp-11734, Sr2MgReO6
mp-11740, KNdTe2
mp-11742, CsNdTe2
mp-11743, LiYGa4
mp-11750, Ti6Si2B
mp-11752, Lu7(NiTe)2
mp-11753, Lu7(TePd)2
mp-11754, Sc6Te2Os
mp-11755, Lu6Sb2Mo
mp-11760, ErCd2Cu
mp-11765, Ti5Se4
mp-11769, CoCu2SiS4
mp-11770, CoCu2SnS4
mp-11771, CoCu2SnSe4
mp-11775, RbUO3
mp-11799, PrNi
mp-11800, Co3Se4
mp-11811, CaGaAu
mp-11814, Rb2Au3
mp-11820, BaNa2
mp-11831, YbZnSn
mp-11840, BaAg
mp-11879, BaNiSn3
mp-11883, MgIr2
mp-11927, Pr2AlCo2
mp-11928, Pr2AlCo2
mp-11945, SmAl4Ni
mp-11957, CaSn2Ir
mp-11958, CaSn2Pd
mp-11959, CaSn2Rh
mp-11964, Ce2CdPt2
mp-11965, Ce2CdPd2
mp-11971, HoSnRh
mp-11973, YbSnRh
mp-11974, TmSnRh
mp-11977, LiSnAu
mp-11980, CsNbF6
mp-11990, Pr2CdNi2
mp-11991, Nd2CdNi2
mp-12004, Er2Al3Si2
mp-12005, Tm2Al3Si2
mp-12006, CeCdNi4
mp-12007, HoCdCu4
mp-12008, ErCdCu4
mp-12009, YbCdCu4
mp-12029, Li2CuP
mp-12039, Gd2Mo2C3
mp-12041, DySbPd
mp-12049, Nd2Sb
mp-12137, Ca(ZnSi)2
mp-12264, LiYbF4
mp-12274, LaAl4Co
mp-12277, CaAgP
mp-12283, Li5Tl2
mp-12324, CsVP2S7
mp-12351, PrTe3
mp-12359, AgSbTe2
mp-12360, AgSbTe2
mp-12365, KThCuS3
mp-12374, CeSnRh
mp-12378, LaSnRh
mp-12381, PrSnRh
mp-12382, ErSi2Ni
mp-12386, ErSi3Ni
mp-12387, YbAsO4
mp-12388, Er3Al3NiGe2
mp-12398, Mg(CoGe)6
mp-12463, Ni(TePd)2
mp-12464, Co(PdSe)2
mp-12465, Co(TePd)2
mp-12466, Fe(PdSe)2
mp-12469, LaCd2Pd
mp-12480, ScPPt
mp-12487, CsDyCdTe3
mp-12488, CsErCdTe3
mp-12490, CsHoCdTe3
mp-12492, CsLuCdTe3
mp-12494, CsPrCdTe3
mp-12495, CsTbCdTe3
mp-12496, CsTmCdTe3
mp-12497, CsSmCdTe3
mp-12504, CeZnPt
mp-12505, LuAgSn
mp-12510, LaSnPd
mp-12515, LaZnSbO
mp-12516, NdZnSbO
mp-12520, SrNi2Ge
mp-12521, SrNi3Ge2
mp-12524, Al2W
mp-12531, Sn4As3
mp-12537, Ti2GaC
mp-12561, TaAs2
mp-12605, ReSi2
mp-12631, SrTcO3
mp-12681, LiMnTe2
mp-12682, NaMnTe2
mp-12684, LaAl
mp-12689, Er2InPd2
mp-12691, Lu2InPd2
mp-12695, CaMg2Ni9
mp-12697, Sc(MnSn)6
mp-12710, PrZnPd
mp-12716, LiTlPd2
mp-12724, SrZn
mp-12728, EuTmCuS3
mp-12741, MgPd2
mp-12742, MgPd3
mp-12746, Ce2Ga10Pd
mp-12751, PuNi
mp-12780, Sr(GaAu)2
mp-12781, ScAl2Ni
mp-12782, YbAl2Ni
mp-12783, Sr(CdGa)2
mp-12784, YbAlAu
mp-12791, SmCuSn
mp-12803, BaEr2F8
mp-12804, SmAlSi
mp-12806, Cu2GeTe3
mp-12813, YbIn2Rh
mp-12815, Na2LiAu3
mp-12854, ZnCu2GeTe4
mp-12855, Cu2HgGeSe4
mp-12856, Pr(AlSi)2
mp-12857, Mn3N2
mp-12860, Na3Cu2SbO6
mp-12863, Ba(AlSi)2
mp-12872, ErIn5Co
mp-12875, ReO2
mp-12895, YbGa4Ni
mp-12896, NdAl4Co
mp-12899, HoSi
mp-12900, HoSi
mp-12901, Tb6FeSb2
mp-12902, ErAgTe2
mp-12904, HoAgTe2
mp-12911, Ba2LaRuO6
mp-12912, Ba2PrRuO6
mp-12919, LaPIr
mp-12920, CePIr
mp-12921, PrPIr
mp-12922, NdPIr
mp-12923, SrPIr
mp-12929, SmAsO4
mp-12931, SmTaO4
mp-12932, TbTaO4
mp-12933, TmTaO4
mp-12944, HoAsO4
mp-12951, ZrGaAu
mp-12952, HfGaAu
mp-12953, TmAgTe2
mp-12964, TbNi4B
mp-12965, ErNi4B
mp-12972, Zr6Sb2Pt
mp-12974, Pr2CdPd2
mp-12975, Sm2CdPd2
mp-12977, Dy2CdPd2
mp-12985, PrCo2B2C
mp-12986, PrB2Pt2C
mp-12996, LaMg2Pd
mp-13001, Ba2HoTaO6
mp-13005, LaCrGe3
mp-13007, PrCrGe3
mp-13008, NdCrGe3
mp-13009, SmCrGe3
mp-13010, YSn2
mp-13018, UCo4Sn
mp-13025, YbZnPd
mp-13026, YbZnPt
mp-13027, YbZnAu
mp-13038, Dy2C(NO)2
mp-13039, Tm2C(NO)2
mp-13041, Yb2C(NO)2
mp-13045, EuCuSn2
mp-13069, Er(AlGe)2
mp-13074, LuNiPb
mp-13089, Cu2SnTe3
mp-13090, YMgAl
mp-13118, CeZn3Pd2
mp-13120, CeSi3Ru
mp-13121, CeGe3Rh
mp-13122, CeGe3Ir
mp-13123, LaGe3Rh
mp-13125, PrCoGe3
mp-13135, Eu(ZnSn)2
mp-13136, WC
mp-13159, GdZnGe
mp-13160, YZnGe
mp-13162, TbZnSn2
mp-13163, TbZnSn
mp-13166, YbAgO2
mp-13172, YMgCu4
mp-13189, SrLuCuS3
mp-13200, LuCuSn
mp-13208, Mg2Pt
mp-13212, GdCuGe
mp-13240, ScInCu4
mp-13250, LaSnPt
mp-13254, CeMgZn2
mp-13263, Ce2Mo2C3
mp-13264, Sm2Mo2C3
mp-13265, ErAgSn
mp-13268, GdCo4B
mp-13270, CaAg2
mp-13271, ErAsPd
mp-13272, BaAlGe
mp-13311, SrAlGe
mp-13312, ScTlS2
mp-13313, ScTlSe2
mp-13314, ScTlTe2
mp-13322, LiGeRh2
mp-13334, ZnSnO3
mp-13339, EuCuTeF
mp-13349, KUCuS3
mp-13357, Yb2MgSi2
mp-13361, Cd2Cu(PO4)2
mp-13363, SiPt3
mp-13364, CaZn2
mp-13376, SmZnRh
mp-13378, TbZnRh
mp-13379, DyZnRh
mp-13380, HoZnRh
mp-13381, CeZnPd
mp-13382, CeZnPd
mp-13401, Yb(CuGe)2
mp-13427, Sr3Hg2
mp-13429, La2CdRh2
mp-13444, LiSn
mp-13450, HfSb
mp-13459, NaCdSb
mp-13472, HfSiRh
mp-13474, LiErGe
mp-13475, CeSi2Ir3
mp-13483, PrBPt4
mp-13485, Eu(AlAu)2
mp-13495, ZrPd
mp-13497, Er2Mg
mp-13498, Tb2Mg
mp-13499, HoMg2
mp-13501, ErCoC2
mp-13502, TmCoC2
mp-13503, ScZn2
mp-13504, CeAl4Co
mp-13505, CeMg2Ni9
mp-13508, Er4In(NiGe2)2
mp-13510, Ho4In(NiGe2)2
mp-13511, Tm4In(NiGe2)2
mp-13512, CaNiGe2
mp-13513, SrNiGe2
mp-13520, Na2ZnGe
mp-13525, HoInIr
mp-13530, SmAsO4
mp-13532, La2ZnNi2
mp-13534, LaZnNi
mp-13535, Tb2ZnNi2
mp-13536, TbZnNi
mp-13549, CeZnAu
mp-13554, SnHgO3
mp-13567, CeS2
mp-13568, NdS2
mp-13570, Mg(ScGa)2
mp-13572, ScSiPt2
mp-13576, EuAsO4
mp-13579, ErGePt
mp-13580, LuGePt
mp-13583, Sc2Si2Ru
mp-13589, CuB(CN)4
mp-13590, LiB(CN)4
mp-13688, Ge2Mo
mp-13694, PrCuO2
mp-13815, Rb2NaErF6
mp-13816, Cs2NaErF6
mp-13829, TlCu3S2
mp-13854, B3Ru2
mp-13961, NdAs2
mp-13967, Nb5(CuSi)4
mp-14000, UCdO4
mp-14005, KRuO4
mp-14093, TbOF
mp-14142, TiZnO3
mp-14193, K2ThF6
mp-14232, LiBO2
mp-14241, Tl2SiSe3
mp-14242, Tl2GeSe3
mp-14336, Cs2Ni3Se4
mp-14338, Cs2Pt3Se4
mp-14445, Ca(BIr)2
mp-14568, BaMgF4
mp-14622, Y(BIr)2
mp-14696, La2B4Rh5
mp-14785, Ba(Cu2P)4
mp-14786, Ba(Cu2As)4
mp-14787, Tm2S3
mp-14793, Mg2SiPt
mp-14796, KPt2Se3
mp-14797, RbPt2Se3
mp-15009, La3(GeRh)4
mp-15120, RbFe2Se3
mp-15121, RbFe2Te3
mp-15123, Th(AlC)4
mp-15226, CrWN2
mp-15252, Cu2GeS3
mp-15297, Hf6NiSb2
mp-15325, BaAs3
mp-15567, Na3AuS2
mp-15571, K3AuSe2
mp-15588, Ce(BRu)2
mp-15605, ScSi3Ni2
mp-15608, Ba(MnAs)2
mp-15622, HfSe3
mp-15624, Sr2Sb
mp-15652, Rh3(PbS)2
mp-15653, CeSi2Ni
mp-15670, Y5S7
mp-15671, Re3B
mp-15695, YAsPt
mp-15753, Ba3(LiAs)4
mp-15805, Mn3ZnN
mp-15827, Ho2Ge2Os
mp-15888, Ba2YIrO6
mp-15889, Ba2LaIrO6
mp-15895, Cu2SiS3
mp-15901, Li2LaTa2O7
mp-16032, Pr2TeO2
mp-16033, Sm2TeO2
mp-16035, Gd2TeO2
mp-16036, Tb2TeO2
mp-16037, Dy2TeO2
mp-16043, Mg(As2Rh3)2
mp-16044, Ca(As2Rh3)2
mp-16045, Sr(As2Rh3)2
mp-16052, Ba(Cu2As)2
mp-16053, CuSiO3
mp-16060, AgAuF4
mp-16234, CsAg3Se2
mp-16254, BaCuP
mp-16259, Ca(GeIr)2
mp-16260, Ca(GePd)2
mp-16261, Ca(GeRh)2
mp-16371, ThGe2
mp-16372, ThGe2
mp-16421, Zr2CuSb3
mp-16506, Li3Al2
mp-16514, Al3Ni5
mp-16548, ZrTiF6
mp-16564, ZnCu2SnSe4
mp-16565, CdCu2SnSe4
mp-16566, Cu2SnHgSe4
mp-16638, Nd2MgCu2
mp-16641, YbSn2Pd
mp-16644, PrMgPt
mp-16645, SmMgPt
mp-16646, PrMgRh
mp-16648, LiSn4Rh
mp-16652, Tb2MgPd2
mp-16734, SmNiAs
mp-16740, TiGePd
mp-17023, UNi2
mp-17193, Ca3GeO
mp-18450, Lu(FeGe)6
mp-18723, BaV2(NiO4)2
mp-18724, Sr2CoO4
mp-18728, NaFe2O3
mp-18733, AlTl(MoO4)2
mp-18734, HoVO4
mp-18740, V2Cd2O7
mp-18745, LaMnSbO
mp-18747, SrMoO3
mp-18754, DyCrO4
mp-18755, NdMnSbO
mp-18764, Ba2SrWO6
mp-18775, Fe3PO7
mp-18782, LiFeO2
mp-18784, DyVO4
mp-18785, CrWO4
mp-18799, YbVO4
mp-18812, NdVO4
mp-18814, MnCO3
mp-18825, YCrO4
mp-18833, Sr3Cr2O8
mp-18834, SrMoO4
mp-18837, KSc(MoO4)2
mp-18849, Fe2P2O7
mp-18857, Sr2FeMoO6
mp-18868, RbFe(MoO4)2
mp-18875, MgWO4
mp-18876, K3CrO8
mp-18878, LiFeAs2O7
mp-18880, ErVO4
mp-18881, KCr4O8
mp-18893, Ca2Mn3O8
mp-18904, Ba2NdMoO6
mp-18912, Na5NiSO2
mp-18913, Ba3Cr2O8
mp-18918, ZnWO4
mp-18919, CoPdO2
mp-18921, NaCoO2
mp-18937, V2O3
mp-18939, LiCo(CO)4
mp-18949, VFeO4
mp-18956, SmCrO4
mp-18960, ErVO4
mp-18969, FeCO3
mp-18977, Ba2CaWO6
mp-18986, Ba2MgWO6
mp-18993, LuVO4
mp-18995, Ba2FeMoO6
mp-19006, MnO
mp-19009, NiO
mp-19025, LaMnO3
mp-19035, BaFeO3
mp-19039, CdMoO4
mp-19051, LaCoO3
mp-19055, HoCrO4
mp-19068, TmVO4
mp-19076, HoCrO4
mp-19079, CoO
mp-19082, TiMnO3
mp-19093, Ba2UNiO6
mp-19094, VO2
mp-19097, FeBO3
mp-19119, Sr2NiOsO6
mp-19121, TbVO4
mp-19124, Ca3Mn2O7
mp-19126, NdCrO4
mp-19132, HgWO4
mp-19133, YVO4
mp-19138, BaNiO3
mp-19142, Mn2V2O7
mp-19147, NiCO3
mp-19157, LaMnO3
mp-19162, LaVO4
mp-19164, BaDy2CoO5
mp-19168, LaMnO3
mp-19169, PrVO4
mp-19177, CrO2
mp-19178, CoAgO2
mp-19182, Ba2CaWO6
mp-19191, Nd2NiO4
mp-19198, CoSO4
mp-19214, CeVO4
mp-19215, CaCrO4
mp-19247, ScVO4
mp-19248, BaSm2CoO5
mp-19258, Ba2SmMoO6
mp-19272, TbCrO4
mp-19276, BaMoO4
mp-19317, Yb(FeO2)2
mp-19323, SmVO4
mp-19326, MnO2
mp-19330, CaMoO4
mp-19332, BaGd2NiO5
mp-19338, LiMoO2
mp-19339, LaNiO3
mp-19340, LiVO2
mp-19352, KAl(MoO4)2
mp-19360, LuCrO4
mp-19363, HgMoO4
mp-19365, Ba3V2O8
mp-19366, Lu(FeO2)2
mp-19372, WO2
mp-19380, CrHgO4
mp-19386, Sr3V2O8
mp-19387, CdWO4
mp-19389, Ba2NdMoO6
mp-19399, Cr2O3
mp-19403, Ba2CaMoO6
mp-19405, Ni(AgO)2
mp-19407, MnWO4
mp-19415, Er(FeO2)2
mp-19419, LiFeO2
mp-19420, Sr2MgWO6
mp-19421, FeWO4
mp-19426, CaWO4
mp-19435, CoMoO4
mp-19438, LiMnO4
mp-19450, ScTl(MoO4)2
mp-19714, GdGeRu
mp-19722, MnCu2SnS4
mp-19725, Hf(FeGe)6
mp-19731, CeMgPd
mp-19735, La2CuO4
mp-19737, LaMnSi
mp-19740, YInPt
mp-19743, LaFeGe3
mp-19745, GdInIr
mp-19747, Ni3(PbSe)2
mp-19763, EuGe3Pt
mp-19766, CeSnPd
mp-19767, DyCoSi
mp-19768, NiAsRh
mp-19774, Eu(CdSb)2
mp-19786, UCoAs2
mp-19787, Sr(GeRu)2
mp-19788, Tb2Ge2Ru
mp-19791, Ca(GeRu)2
mp-19798, EuGePt
mp-19804, In2Co3S2
mp-19807, Co3(SnS)2
mp-19808, Eu(ZnGe)2
mp-19813, Ba2GdCu3O7
